日期,代码,名称,年管理费率,年托管费率,最新收盘价,60日均线,价格与60日均线关系,均线穿越,周MACD_DIF,周MACD_DEA,周MACD柱,MACD柱转向
2026-02-12,515900,博时央企创新驱动ETF,0.15%,0.05%,1.738,1.6372,≥ 60日均线,,0.0499,0.0404,0.019,
2026-02-12,560780,广发中证半导体材料设备主题ETF,0.50%,0.10%,1.998,1.817,≥ 60日均线,,0.1793,0.158,0.0426,
2026-02-12,159972,鹏华中证5年地债ETF,0.15%,0.05%,117.753,117.2293,≥ 60日均线,,0.3874,0.3478,0.0792,
2026-02-12,159603,天弘中证科创创业50ETF,0.50%,0.10%,1.447,1.4267,≥ 60日均线,,0.0873,0.1017,-0.0288,
2026-02-12,511150,科创债ETF永赢,0.15%,0.05%,100.721,100.2203,≥ 60日均线,,,,,
2026-02-12,159650,博时中债0-3年国开行ETF,0.15%,0.05%,107.568,107.3469,≥ 60日均线,,0.1785,0.1704,0.0163,
2026-02-12,159859,天弘国证生物医药ETF,0.50%,0.10%,0.396,0.3976,< 60日均线,下穿60日均线,-0.0023,-0.0001,-0.0044,
2026-02-12,512290,国泰中证生物医药ETF,0.50%,0.10%,1.019,1.0329,< 60日均线,,-0.0101,-0.0019,-0.0164,
2026-02-12,515650,富国中证消费50ETF,0.50%,0.10%,,,N/A,,,,,
2026-02-12,515380,泰康沪深300ETF,0.40%,0.05%,5.444,5.3471,≥ 60日均线,,0.1454,0.1631,-0.0354,
2026-02-12,510350,工银瑞信沪深300ETF,0.15%,0.05%,4.922,4.834,≥ 60日均线,,0.1339,0.1501,-0.0324,
2026-02-12,560050,汇添富MSCI中国A50互联互通ETF,0.50%,0.10%,1.046,1.0486,< 60日均线,,0.0302,0.0381,-0.0158,
2026-02-12,510360,广发沪深300ETF,0.50%,0.10%,1.796,1.7623,≥ 60日均线,,0.0469,0.0528,-0.0118,
